batch_size,eps,model,norm,steps,trials,acc,robust_acc
1000,1.0,MLP_origin_dense_n_100_dense_128_040,l2,40,1,0.9944,0.1465
1000,2.0,MLP_origin_dense_n_100_dense_128_040,l2,40,1,0.9944,0.0033
1000,0.3,MLP_origin_dense_n_100_dense_128_040,linf,40,1,0.9944,0.0
1000,0.15,MLP_origin_dense_n_100_dense_128_040,linf,40,1,0.9944,0.0001
1000,1.0,MLP_origin_dense_n_100_dense_128_040,l2,100,1,0.9944,0.1459
1000,2.0,MLP_origin_dense_n_100_dense_128_040,l2,100,1,0.9944,0.0031
1000,0.3,MLP_origin_dense_n_100_dense_128_040,linf,100,1,0.9944,0.0
1000,0.15,MLP_origin_dense_n_100_dense_128_040,linf,100,1,0.9944,0.0002
1000,1.0,MLP_origin_dense_n_100_dense_128_040,l2,40,10,0.9944,0.1363
1000,2.0,MLP_origin_dense_n_100_dense_128_040,l2,40,10,0.9944,0.0021
1000,0.3,MLP_origin_dense_n_100_dense_128_040,linf,40,10,0.9944,0.0
1000,0.15,MLP_origin_dense_n_100_dense_128_040,linf,40,10,0.9944,0.0
1000,1.0,MLP_origin_dense_n_100_dense_128_040,l2,100,10,0.9944,0.1367
1000,2.0,MLP_origin_dense_n_100_dense_128_040,l2,100,10,0.9944,0.002
1000,0.3,MLP_origin_dense_n_100_dense_128_040,linf,100,10,0.9944,0.0
1000,0.15,MLP_origin_dense_n_100_dense_128_040,linf,100,10,0.9944,0.0
1000,1.0,MLP_origin_dense_n_100_dense_256_047,l2,40,1,0.9974,0.1527
1000,2.0,MLP_origin_dense_n_100_dense_256_047,l2,40,1,0.9974,0.0011
1000,0.3,MLP_origin_dense_n_100_dense_256_047,linf,40,1,0.9974,0.0
1000,0.15,MLP_origin_dense_n_100_dense_256_047,linf,40,1,0.9974,0.0
1000,1.0,MLP_origin_dense_n_100_dense_256_047,l2,100,1,0.9974,0.1508
1000,2.0,MLP_origin_dense_n_100_dense_256_047,l2,100,1,0.9974,0.0011
1000,0.3,MLP_origin_dense_n_100_dense_256_047,linf,100,1,0.9974,0.0
1000,0.15,MLP_origin_dense_n_100_dense_256_047,linf,100,1,0.9974,0.0001
1000,1.0,MLP_origin_dense_n_100_dense_256_047,l2,40,10,0.9974,0.145
1000,2.0,MLP_origin_dense_n_100_dense_256_047,l2,40,10,0.9974,0.0006
1000,0.3,MLP_origin_dense_n_100_dense_256_047,linf,40,10,0.9974,0.0
1000,0.15,MLP_origin_dense_n_100_dense_256_047,linf,40,10,0.9974,0.0
1000,1.0,MLP_origin_dense_n_100_dense_256_047,l2,100,10,0.9974,0.1431
1000,2.0,MLP_origin_dense_n_100_dense_256_047,l2,100,10,0.9974,0.0006
1000,0.3,MLP_origin_dense_n_100_dense_256_047,linf,100,10,0.9974,0.0
1000,0.15,MLP_origin_dense_n_100_dense_256_047,linf,100,10,0.9974,0.0
1000,1.0,MLP_origin_dense_n_100_dense_512_032,l2,40,1,0.9966,0.1962
1000,2.0,MLP_origin_dense_n_100_dense_512_032,l2,40,1,0.9966,0.0044
1000,0.3,MLP_origin_dense_n_100_dense_512_032,linf,40,1,0.9966,0.0
1000,0.15,MLP_origin_dense_n_100_dense_512_032,linf,40,1,0.9966,0.0002
1000,1.0,MLP_origin_dense_n_100_dense_512_032,l2,100,1,0.9966,0.1956
1000,2.0,MLP_origin_dense_n_100_dense_512_032,l2,100,1,0.9966,0.0041
1000,0.3,MLP_origin_dense_n_100_dense_512_032,linf,100,1,0.9966,0.0
1000,0.15,MLP_origin_dense_n_100_dense_512_032,linf,100,1,0.9966,0.0001
1000,1.0,MLP_origin_dense_n_100_dense_512_032,l2,40,10,0.9966,0.1879
1000,2.0,MLP_origin_dense_n_100_dense_512_032,l2,40,10,0.9966,0.0029
1000,0.3,MLP_origin_dense_n_100_dense_512_032,linf,40,10,0.9966,0.0
1000,0.15,MLP_origin_dense_n_100_dense_512_032,linf,40,10,0.9966,0.0
1000,1.0,MLP_origin_dense_n_100_dense_512_032,l2,100,10,0.9966,0.1869
1000,2.0,MLP_origin_dense_n_100_dense_512_032,l2,100,10,0.9966,0.0031
1000,0.3,MLP_origin_dense_n_100_dense_512_032,linf,100,10,0.9966,0.0
1000,0.15,MLP_origin_dense_n_100_dense_512_032,linf,100,10,0.9966,0.0
1000,1.0,MLP_origin_dense_n_10_dense_128_049,l2,40,1,0.9689,0.1289
1000,2.0,MLP_origin_dense_n_10_dense_128_049,l2,40,1,0.9689,0.0051
1000,0.3,MLP_origin_dense_n_10_dense_128_049,linf,40,1,0.9689,0.0
1000,0.15,MLP_origin_dense_n_10_dense_128_049,linf,40,1,0.9689,0.0004
1000,1.0,MLP_origin_dense_n_10_dense_128_049,l2,100,1,0.9689,0.1271
1000,2.0,MLP_origin_dense_n_10_dense_128_049,l2,100,1,0.9689,0.0045
1000,0.3,MLP_origin_dense_n_10_dense_128_049,linf,100,1,0.9689,0.0
1000,0.15,MLP_origin_dense_n_10_dense_128_049,linf,100,1,0.9689,0.0007
1000,1.0,MLP_origin_dense_n_10_dense_128_049,l2,40,10,0.9689,0.1209
1000,2.0,MLP_origin_dense_n_10_dense_128_049,l2,40,10,0.9689,0.0034
1000,0.3,MLP_origin_dense_n_10_dense_128_049,linf,40,10,0.9689,0.0
1000,0.15,MLP_origin_dense_n_10_dense_128_049,linf,40,10,0.9689,0.0004
1000,1.0,MLP_origin_dense_n_10_dense_128_049,l2,100,10,0.9689,0.1203
1000,2.0,MLP_origin_dense_n_10_dense_128_049,l2,100,10,0.9689,0.003
1000,0.3,MLP_origin_dense_n_10_dense_128_049,linf,100,10,0.9689,0.0
1000,0.15,MLP_origin_dense_n_10_dense_128_049,linf,100,10,0.9689,0.0002
1000,1.0,MLP_origin_dense_n_10_dense_256_046,l2,40,1,0.973,0.1649
1000,2.0,MLP_origin_dense_n_10_dense_256_046,l2,40,1,0.973,0.0042
1000,0.3,MLP_origin_dense_n_10_dense_256_046,linf,40,1,0.973,0.0
1000,0.15,MLP_origin_dense_n_10_dense_256_046,linf,40,1,0.973,0.0004
1000,1.0,MLP_origin_dense_n_10_dense_256_046,l2,100,1,0.973,0.1636
1000,2.0,MLP_origin_dense_n_10_dense_256_046,l2,100,1,0.973,0.0039
1000,0.3,MLP_origin_dense_n_10_dense_256_046,linf,100,1,0.973,0.0
1000,0.15,MLP_origin_dense_n_10_dense_256_046,linf,100,1,0.973,0.0004
1000,1.0,MLP_origin_dense_n_10_dense_256_046,l2,40,10,0.973,0.1571
1000,2.0,MLP_origin_dense_n_10_dense_256_046,l2,40,10,0.973,0.0028
1000,0.3,MLP_origin_dense_n_10_dense_256_046,linf,40,10,0.973,0.0
1000,0.15,MLP_origin_dense_n_10_dense_256_046,linf,40,10,0.973,0.0003
1000,1.0,MLP_origin_dense_n_10_dense_256_046,l2,100,10,0.973,0.1551
1000,2.0,MLP_origin_dense_n_10_dense_256_046,l2,100,10,0.973,0.0027
1000,0.3,MLP_origin_dense_n_10_dense_256_046,linf,100,10,0.973,0.0
1000,0.15,MLP_origin_dense_n_10_dense_256_046,linf,100,10,0.973,0.0002
1000,1.0,MLP_origin_dense_n_10_dense_512_039,l2,40,1,0.9723,0.1309
1000,2.0,MLP_origin_dense_n_10_dense_512_039,l2,40,1,0.9723,0.002
1000,0.3,MLP_origin_dense_n_10_dense_512_039,linf,40,1,0.9723,0.0
1000,0.15,MLP_origin_dense_n_10_dense_512_039,linf,40,1,0.9723,0.0001
1000,1.0,MLP_origin_dense_n_10_dense_512_039,l2,100,1,0.9723,0.1309
1000,2.0,MLP_origin_dense_n_10_dense_512_039,l2,100,1,0.9723,0.0017
1000,0.3,MLP_origin_dense_n_10_dense_512_039,linf,100,1,0.9723,0.0
1000,0.15,MLP_origin_dense_n_10_dense_512_039,linf,100,1,0.9723,0.0001
1000,1.0,MLP_origin_dense_n_10_dense_512_039,l2,40,10,0.9723,0.1244
1000,2.0,MLP_origin_dense_n_10_dense_512_039,l2,40,10,0.9723,0.0012
1000,0.3,MLP_origin_dense_n_10_dense_512_039,linf,40,10,0.9723,0.0
1000,0.15,MLP_origin_dense_n_10_dense_512_039,linf,40,10,0.9723,0.0001
1000,1.0,MLP_origin_dense_n_10_dense_512_039,l2,100,10,0.9723,0.1238
1000,2.0,MLP_origin_dense_n_10_dense_512_039,l2,100,10,0.9723,0.0012
1000,0.3,MLP_origin_dense_n_10_dense_512_039,linf,100,10,0.9723,0.0
1000,0.15,MLP_origin_dense_n_10_dense_512_039,linf,100,10,0.9723,0.0
1000,1.0,MLP_origin_dense_n_20_dense_128_047,l2,40,1,0.9798,0.1443
1000,2.0,MLP_origin_dense_n_20_dense_128_047,l2,40,1,0.9798,0.0033
1000,0.3,MLP_origin_dense_n_20_dense_128_047,linf,40,1,0.9798,0.0
1000,0.15,MLP_origin_dense_n_20_dense_128_047,linf,40,1,0.9798,0.0007
1000,1.0,MLP_origin_dense_n_20_dense_128_047,l2,100,1,0.9798,0.1425
1000,2.0,MLP_origin_dense_n_20_dense_128_047,l2,100,1,0.9798,0.0039
1000,0.3,MLP_origin_dense_n_20_dense_128_047,linf,100,1,0.9798,0.0
1000,0.15,MLP_origin_dense_n_20_dense_128_047,linf,100,1,0.9798,0.0007
1000,1.0,MLP_origin_dense_n_20_dense_128_047,l2,40,10,0.9798,0.1361
1000,2.0,MLP_origin_dense_n_20_dense_128_047,l2,40,10,0.9798,0.0024
1000,0.3,MLP_origin_dense_n_20_dense_128_047,linf,40,10,0.9798,0.0
1000,0.15,MLP_origin_dense_n_20_dense_128_047,linf,40,10,0.9798,0.0004
1000,1.0,MLP_origin_dense_n_20_dense_128_047,l2,100,10,0.9798,0.1357
1000,2.0,MLP_origin_dense_n_20_dense_128_047,l2,100,10,0.9798,0.0023
1000,0.3,MLP_origin_dense_n_20_dense_128_047,linf,100,10,0.9798,0.0
1000,0.15,MLP_origin_dense_n_20_dense_128_047,linf,100,10,0.9798,0.0003
1000,1.0,MLP_origin_dense_n_20_dense_256_047,l2,40,1,0.9855,0.1438
1000,2.0,MLP_origin_dense_n_20_dense_256_047,l2,40,1,0.9855,0.0028
1000,0.3,MLP_origin_dense_n_20_dense_256_047,linf,40,1,0.9855,0.0
1000,0.15,MLP_origin_dense_n_20_dense_256_047,linf,40,1,0.9855,0.0001
1000,1.0,MLP_origin_dense_n_20_dense_256_047,l2,100,1,0.9855,0.1423
1000,2.0,MLP_origin_dense_n_20_dense_256_047,l2,100,1,0.9855,0.0028
1000,0.3,MLP_origin_dense_n_20_dense_256_047,linf,100,1,0.9855,0.0
1000,0.15,MLP_origin_dense_n_20_dense_256_047,linf,100,1,0.9855,0.0
1000,1.0,MLP_origin_dense_n_20_dense_256_047,l2,40,10,0.9855,0.136
1000,2.0,MLP_origin_dense_n_20_dense_256_047,l2,40,10,0.9855,0.0019
1000,0.3,MLP_origin_dense_n_20_dense_256_047,linf,40,10,0.9855,0.0
1000,0.15,MLP_origin_dense_n_20_dense_256_047,linf,40,10,0.9855,0.0
1000,1.0,MLP_origin_dense_n_20_dense_256_047,l2,100,10,0.9855,0.1348
1000,2.0,MLP_origin_dense_n_20_dense_256_047,l2,100,10,0.9855,0.0016
1000,0.3,MLP_origin_dense_n_20_dense_256_047,linf,100,10,0.9855,0.0
1000,0.15,MLP_origin_dense_n_20_dense_256_047,linf,100,10,0.9855,0.0
1000,1.0,MLP_origin_dense_n_20_dense_512_045,l2,40,1,0.9873,0.146
1000,2.0,MLP_origin_dense_n_20_dense_512_045,l2,40,1,0.9873,0.0014
1000,0.3,MLP_origin_dense_n_20_dense_512_045,linf,40,1,0.9873,0.0
1000,0.15,MLP_origin_dense_n_20_dense_512_045,linf,40,1,0.9873,0.0
1000,1.0,MLP_origin_dense_n_20_dense_512_045,l2,100,1,0.9873,0.1445
1000,2.0,MLP_origin_dense_n_20_dense_512_045,l2,100,1,0.9873,0.0014
1000,0.3,MLP_origin_dense_n_20_dense_512_045,linf,100,1,0.9873,0.0
1000,0.15,MLP_origin_dense_n_20_dense_512_045,linf,100,1,0.9873,0.0
1000,1.0,MLP_origin_dense_n_20_dense_512_045,l2,40,10,0.9873,0.1389
1000,2.0,MLP_origin_dense_n_20_dense_512_045,l2,40,10,0.9873,0.001
1000,0.3,MLP_origin_dense_n_20_dense_512_045,linf,40,10,0.9873,0.0
1000,0.15,MLP_origin_dense_n_20_dense_512_045,linf,40,10,0.9873,0.0
1000,1.0,MLP_origin_dense_n_20_dense_512_045,l2,100,10,0.9873,0.1374
1000,2.0,MLP_origin_dense_n_20_dense_512_045,l2,100,10,0.9873,0.001
1000,0.3,MLP_origin_dense_n_20_dense_512_045,linf,100,10,0.9873,0.0
1000,0.15,MLP_origin_dense_n_20_dense_512_045,linf,100,10,0.9873,0.0
1000,1.0,MLP_origin_dense_n_30_dense_128_042,l2,40,1,0.9823,0.1206
1000,2.0,MLP_origin_dense_n_30_dense_128_042,l2,40,1,0.9823,0.0014
1000,0.3,MLP_origin_dense_n_30_dense_128_042,linf,40,1,0.9823,0.0
1000,0.15,MLP_origin_dense_n_30_dense_128_042,linf,40,1,0.9823,0.0
1000,1.0,MLP_origin_dense_n_30_dense_128_042,l2,100,1,0.9823,0.1191
1000,2.0,MLP_origin_dense_n_30_dense_128_042,l2,100,1,0.9823,0.0011
1000,0.3,MLP_origin_dense_n_30_dense_128_042,linf,100,1,0.9823,0.0
1000,0.15,MLP_origin_dense_n_30_dense_128_042,linf,100,1,0.9823,0.0
1000,1.0,MLP_origin_dense_n_30_dense_128_042,l2,40,10,0.9823,0.1134
1000,2.0,MLP_origin_dense_n_30_dense_128_042,l2,40,10,0.9823,0.0006
1000,0.3,MLP_origin_dense_n_30_dense_128_042,linf,40,10,0.9823,0.0
1000,0.15,MLP_origin_dense_n_30_dense_128_042,linf,40,10,0.9823,0.0
1000,1.0,MLP_origin_dense_n_30_dense_128_042,l2,100,10,0.9823,0.1129
1000,2.0,MLP_origin_dense_n_30_dense_128_042,l2,100,10,0.9823,0.0005
1000,0.3,MLP_origin_dense_n_30_dense_128_042,linf,100,10,0.9823,0.0
1000,0.15,MLP_origin_dense_n_30_dense_128_042,linf,100,10,0.9823,0.0
1000,1.0,MLP_origin_dense_n_30_dense_256_048,l2,40,1,0.9877,0.1427
1000,2.0,MLP_origin_dense_n_30_dense_256_048,l2,40,1,0.9877,0.0007
1000,0.3,MLP_origin_dense_n_30_dense_256_048,linf,40,1,0.9877,0.0
1000,0.15,MLP_origin_dense_n_30_dense_256_048,linf,40,1,0.9877,0.0
1000,1.0,MLP_origin_dense_n_30_dense_256_048,l2,100,1,0.9877,0.1421
1000,2.0,MLP_origin_dense_n_30_dense_256_048,l2,100,1,0.9877,0.0006
1000,0.3,MLP_origin_dense_n_30_dense_256_048,linf,100,1,0.9877,0.0
1000,0.15,MLP_origin_dense_n_30_dense_256_048,linf,100,1,0.9877,0.0
1000,1.0,MLP_origin_dense_n_30_dense_256_048,l2,40,10,0.9877,0.135
1000,2.0,MLP_origin_dense_n_30_dense_256_048,l2,40,10,0.9877,0.0006
1000,0.3,MLP_origin_dense_n_30_dense_256_048,linf,40,10,0.9877,0.0
1000,0.15,MLP_origin_dense_n_30_dense_256_048,linf,40,10,0.9877,0.0
1000,1.0,MLP_origin_dense_n_30_dense_256_048,l2,100,10,0.9877,0.1342
1000,2.0,MLP_origin_dense_n_30_dense_256_048,l2,100,10,0.9877,0.0006
1000,0.3,MLP_origin_dense_n_30_dense_256_048,linf,100,10,0.9877,0.0
1000,0.15,MLP_origin_dense_n_30_dense_256_048,linf,100,10,0.9877,0.0
1000,1.0,MLP_origin_dense_n_30_dense_512_040,l2,40,1,0.9896,0.1766
1000,2.0,MLP_origin_dense_n_30_dense_512_040,l2,40,1,0.9896,0.0041
1000,0.3,MLP_origin_dense_n_30_dense_512_040,linf,40,1,0.9896,0.0
1000,0.15,MLP_origin_dense_n_30_dense_512_040,linf,40,1,0.9896,0.0001
1000,1.0,MLP_origin_dense_n_30_dense_512_040,l2,100,1,0.9896,0.1762
1000,2.0,MLP_origin_dense_n_30_dense_512_040,l2,100,1,0.9896,0.0037
1000,0.3,MLP_origin_dense_n_30_dense_512_040,linf,100,1,0.9896,0.0
1000,0.15,MLP_origin_dense_n_30_dense_512_040,linf,100,1,0.9896,0.0001
1000,1.0,MLP_origin_dense_n_30_dense_512_040,l2,40,10,0.9896,0.1698
1000,2.0,MLP_origin_dense_n_30_dense_512_040,l2,40,10,0.9896,0.0029
1000,0.3,MLP_origin_dense_n_30_dense_512_040,linf,40,10,0.9896,0.0
1000,0.15,MLP_origin_dense_n_30_dense_512_040,linf,40,10,0.9896,0.0001
1000,1.0,MLP_origin_dense_n_30_dense_512_040,l2,100,10,0.9896,0.1689
1000,2.0,MLP_origin_dense_n_30_dense_512_040,l2,100,10,0.9896,0.0028
1000,0.3,MLP_origin_dense_n_30_dense_512_040,linf,100,10,0.9896,0.0
1000,0.15,MLP_origin_dense_n_30_dense_512_040,linf,100,10,0.9896,0.0
1000,1.0,MLP_origin_dense_n_40_dense_128_046,l2,40,1,0.988,0.1416
1000,2.0,MLP_origin_dense_n_40_dense_128_046,l2,40,1,0.988,0.0028
1000,0.3,MLP_origin_dense_n_40_dense_128_046,linf,40,1,0.988,0.0
1000,0.15,MLP_origin_dense_n_40_dense_128_046,linf,40,1,0.988,0.0001
1000,1.0,MLP_origin_dense_n_40_dense_128_046,l2,100,1,0.988,0.142
1000,2.0,MLP_origin_dense_n_40_dense_128_046,l2,100,1,0.988,0.0032
1000,0.3,MLP_origin_dense_n_40_dense_128_046,linf,100,1,0.988,0.0
1000,0.15,MLP_origin_dense_n_40_dense_128_046,linf,100,1,0.988,0.0002
1000,1.0,MLP_origin_dense_n_40_dense_128_046,l2,40,10,0.988,0.1343
1000,2.0,MLP_origin_dense_n_40_dense_128_046,l2,40,10,0.988,0.0018
1000,0.3,MLP_origin_dense_n_40_dense_128_046,linf,40,10,0.988,0.0
1000,0.15,MLP_origin_dense_n_40_dense_128_046,linf,40,10,0.988,0.0
1000,1.0,MLP_origin_dense_n_40_dense_128_046,l2,100,10,0.988,0.1339
1000,2.0,MLP_origin_dense_n_40_dense_128_046,l2,100,10,0.988,0.0016
1000,0.3,MLP_origin_dense_n_40_dense_128_046,linf,100,10,0.988,0.0
1000,0.15,MLP_origin_dense_n_40_dense_128_046,linf,100,10,0.988,0.0
1000,1.0,MLP_origin_dense_n_40_dense_256_046,l2,40,1,0.9898,0.1424
1000,2.0,MLP_origin_dense_n_40_dense_256_046,l2,40,1,0.9898,0.002
1000,0.3,MLP_origin_dense_n_40_dense_256_046,linf,40,1,0.9898,0.0
1000,0.15,MLP_origin_dense_n_40_dense_256_046,linf,40,1,0.9898,0.0002
1000,1.0,MLP_origin_dense_n_40_dense_256_046,l2,100,1,0.9898,0.1416
1000,2.0,MLP_origin_dense_n_40_dense_256_046,l2,100,1,0.9898,0.0023
1000,0.3,MLP_origin_dense_n_40_dense_256_046,linf,100,1,0.9898,0.0
1000,0.15,MLP_origin_dense_n_40_dense_256_046,linf,100,1,0.9898,0.0001
1000,1.0,MLP_origin_dense_n_40_dense_256_046,l2,40,10,0.9898,0.1347
1000,2.0,MLP_origin_dense_n_40_dense_256_046,l2,40,10,0.9898,0.0017
1000,0.3,MLP_origin_dense_n_40_dense_256_046,linf,40,10,0.9898,0.0
1000,0.15,MLP_origin_dense_n_40_dense_256_046,linf,40,10,0.9898,0.0001
1000,1.0,MLP_origin_dense_n_40_dense_256_046,l2,100,10,0.9898,0.1342
1000,2.0,MLP_origin_dense_n_40_dense_256_046,l2,100,10,0.9898,0.0014
1000,0.3,MLP_origin_dense_n_40_dense_256_046,linf,100,10,0.9898,0.0
1000,0.15,MLP_origin_dense_n_40_dense_256_046,linf,100,10,0.9898,0.0001
1000,1.0,MLP_origin_dense_n_40_dense_512_040,l2,40,1,0.9933,0.1607
1000,2.0,MLP_origin_dense_n_40_dense_512_040,l2,40,1,0.9933,0.0024
1000,0.3,MLP_origin_dense_n_40_dense_512_040,linf,40,1,0.9933,0.0
1000,0.15,MLP_origin_dense_n_40_dense_512_040,linf,40,1,0.9933,0.0002
1000,1.0,MLP_origin_dense_n_40_dense_512_040,l2,100,1,0.9933,0.159
1000,2.0,MLP_origin_dense_n_40_dense_512_040,l2,100,1,0.9933,0.0022
1000,0.3,MLP_origin_dense_n_40_dense_512_040,linf,100,1,0.9933,0.0
1000,0.15,MLP_origin_dense_n_40_dense_512_040,linf,100,1,0.9933,0.0001
1000,1.0,MLP_origin_dense_n_40_dense_512_040,l2,40,10,0.9933,0.1517
1000,2.0,MLP_origin_dense_n_40_dense_512_040,l2,40,10,0.9933,0.0015
1000,0.3,MLP_origin_dense_n_40_dense_512_040,linf,40,10,0.9933,0.0
1000,0.15,MLP_origin_dense_n_40_dense_512_040,linf,40,10,0.9933,0.0
1000,1.0,MLP_origin_dense_n_40_dense_512_040,l2,100,10,0.9933,0.1519
1000,2.0,MLP_origin_dense_n_40_dense_512_040,l2,100,10,0.9933,0.0013
1000,0.3,MLP_origin_dense_n_40_dense_512_040,linf,100,10,0.9933,0.0
1000,0.15,MLP_origin_dense_n_40_dense_512_040,linf,100,10,0.9933,0.0
1000,1.0,MLP_origin_dense_n_50_dense_128_043,l2,40,1,0.9886,0.1325
1000,2.0,MLP_origin_dense_n_50_dense_128_043,l2,40,1,0.9886,0.0032
1000,0.3,MLP_origin_dense_n_50_dense_128_043,linf,40,1,0.9886,0.0
1000,0.15,MLP_origin_dense_n_50_dense_128_043,linf,40,1,0.9886,0.0005
1000,1.0,MLP_origin_dense_n_50_dense_128_043,l2,100,1,0.9886,0.1315
1000,2.0,MLP_origin_dense_n_50_dense_128_043,l2,100,1,0.9886,0.0033
1000,0.3,MLP_origin_dense_n_50_dense_128_043,linf,100,1,0.9886,0.0
1000,0.15,MLP_origin_dense_n_50_dense_128_043,linf,100,1,0.9886,0.0004
1000,1.0,MLP_origin_dense_n_50_dense_128_043,l2,40,10,0.9886,0.1243
1000,2.0,MLP_origin_dense_n_50_dense_128_043,l2,40,10,0.9886,0.0025
1000,0.3,MLP_origin_dense_n_50_dense_128_043,linf,40,10,0.9886,0.0
1000,0.15,MLP_origin_dense_n_50_dense_128_043,linf,40,10,0.9886,0.0002
1000,1.0,MLP_origin_dense_n_50_dense_128_043,l2,100,10,0.9886,0.123
1000,2.0,MLP_origin_dense_n_50_dense_128_043,l2,100,10,0.9886,0.0026
1000,0.3,MLP_origin_dense_n_50_dense_128_043,linf,100,10,0.9886,0.0
1000,0.15,MLP_origin_dense_n_50_dense_128_043,linf,100,10,0.9886,0.0001
1000,1.0,MLP_origin_dense_n_50_dense_256_042,l2,40,1,0.9917,0.1439
1000,2.0,MLP_origin_dense_n_50_dense_256_042,l2,40,1,0.9917,0.0015
1000,0.3,MLP_origin_dense_n_50_dense_256_042,linf,40,1,0.9917,0.0
1000,0.15,MLP_origin_dense_n_50_dense_256_042,linf,40,1,0.9917,0.0
1000,1.0,MLP_origin_dense_n_50_dense_256_042,l2,100,1,0.9917,0.142
1000,2.0,MLP_origin_dense_n_50_dense_256_042,l2,100,1,0.9917,0.0014
1000,0.3,MLP_origin_dense_n_50_dense_256_042,linf,100,1,0.9917,0.0
1000,0.15,MLP_origin_dense_n_50_dense_256_042,linf,100,1,0.9917,0.0
1000,1.0,MLP_origin_dense_n_50_dense_256_042,l2,40,10,0.9917,0.1344
1000,2.0,MLP_origin_dense_n_50_dense_256_042,l2,40,10,0.9917,0.0008
1000,0.3,MLP_origin_dense_n_50_dense_256_042,linf,40,10,0.9917,0.0
1000,0.15,MLP_origin_dense_n_50_dense_256_042,linf,40,10,0.9917,0.0
1000,1.0,MLP_origin_dense_n_50_dense_256_042,l2,100,10,0.9917,0.1334
1000,2.0,MLP_origin_dense_n_50_dense_256_042,l2,100,10,0.9917,0.0008
1000,0.3,MLP_origin_dense_n_50_dense_256_042,linf,100,10,0.9917,0.0
1000,0.15,MLP_origin_dense_n_50_dense_256_042,linf,100,10,0.9917,0.0
1000,1.0,MLP_origin_dense_n_50_dense_512_049,l2,40,1,0.9979,0.1466
1000,2.0,MLP_origin_dense_n_50_dense_512_049,l2,40,1,0.9979,0.0035
1000,0.3,MLP_origin_dense_n_50_dense_512_049,linf,40,1,0.9979,0.0
1000,0.15,MLP_origin_dense_n_50_dense_512_049,linf,40,1,0.9979,0.0001
1000,1.0,MLP_origin_dense_n_50_dense_512_049,l2,100,1,0.9979,0.1464
1000,2.0,MLP_origin_dense_n_50_dense_512_049,l2,100,1,0.9979,0.003
1000,0.3,MLP_origin_dense_n_50_dense_512_049,linf,100,1,0.9979,0.0
1000,0.15,MLP_origin_dense_n_50_dense_512_049,linf,100,1,0.9979,0.0002
1000,1.0,MLP_origin_dense_n_50_dense_512_049,l2,40,10,0.9979,0.1381
1000,2.0,MLP_origin_dense_n_50_dense_512_049,l2,40,10,0.9979,0.0019
1000,0.3,MLP_origin_dense_n_50_dense_512_049,linf,40,10,0.9979,0.0
1000,0.15,MLP_origin_dense_n_50_dense_512_049,linf,40,10,0.9979,0.0
1000,1.0,MLP_origin_dense_n_50_dense_512_049,l2,100,10,0.9979,0.1382
1000,2.0,MLP_origin_dense_n_50_dense_512_049,l2,100,10,0.9979,0.0021
1000,0.3,MLP_origin_dense_n_50_dense_512_049,linf,100,10,0.9979,0.0
1000,0.15,MLP_origin_dense_n_50_dense_512_049,linf,100,10,0.9979,0.0
1000,1.0,MLP_origin_dense_n_60_dense_128_049,l2,40,1,0.9905,0.1035
1000,2.0,MLP_origin_dense_n_60_dense_128_049,l2,40,1,0.9905,0.0009
1000,0.3,MLP_origin_dense_n_60_dense_128_049,linf,40,1,0.9905,0.0
